mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classificador,param_classificador__learning_rate,param_classificador__max_depth,param_classificador__n_estimators,param_classificador__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
8.539525365829467,0.31744259797663793,0.15388045310974122,0.022096415942586017,GradientBoostingClassifier(random_state=42),0.05,3,100,,"{'classificador': GradientBoostingClassifier(random_state=42), 'classificador__learning_rate': 0.05, 'classificador__max_depth': 3, 'classificador__n_estimators': 100}",0.2881803769596618,0.28700329689397885,0.2885930190716085,0.2870520439402125,0.287724495463803,0.2877106464658529,0.0006218553932477277,8
15.422245168685913,0.6228822570130172,0.3128626823425293,0.05726898899421815,GradientBoostingClassifier(random_state=42),0.05,3,200,,"{'classificador': GradientBoostingClassifier(random_state=42), 'classificador__learning_rate': 0.05, 'classificador__max_depth': 3, 'classificador__n_estimators': 200}",0.2894736842105263,0.2915804002760525,0.29146793852676206,0.29492257832193014,0.2913114456738618,0.29175120940182653,0.0017633781277393162,4
11.952769470214843,1.5451674860589824,0.2855550289154053,0.03524856013568265,GradientBoostingClassifier(random_state=42),0.05,5,100,,"{'classificador': GradientBoostingClassifier(random_state=42), 'classificador__learning_rate': 0.05, 'classificador__max_depth': 5, 'classificador__n_estimators': 100}",0.29174051754696917,0.2925634295713036,0.2964788732394366,0.2971054068814855,0.29732225300092335,0.29504209604802367,0.0023901842658901177,1
22.822542715072633,1.5924809615701825,0.41913328170776365,0.03630230545778479,GradientBoostingClassifier(random_state=42),0.05,5,200,,"{'classificador': GradientBoostingClassifier(random_state=42), 'classificador__learning_rate': 0.05, 'classificador__max_depth': 5, 'classificador__n_estimators': 200}",0.2920589802806893,0.29621885345879073,0.29484029484029484,0.29474444645114684,0.2958493326019382,0.294742381526572,0.0014570891240556789,2
8.39348316192627,0.8717362716611159,0.21133790016174317,0.07854475483461291,GradientBoostingClassifier(random_state=42),0.1,3,100,,"{'classificador': GradientBoostingClassifier(random_state=42), 'classificador__learning_rate': 0.1, 'classificador__max_depth': 3, 'classificador__n_estimators': 100}",0.28882739536492563,0.29061588608680733,0.29430719656283566,0.29153153153153155,0.2918486171761281,0.2914261253444457,0.001783259170094133,6
14.206725311279296,0.8589680169146379,0.3469357967376709,0.0970086864876819,GradientBoostingClassifier(random_state=42),0.1,3,200,,"{'classificador': GradientBoostingClassifier(random_state=42), 'classificador__learning_rate': 0.1, 'classificador__max_depth': 3, 'classificador__n_estimators': 200}",0.28856405846947547,0.28957264957264955,0.2900035323207347,0.2937062937062937,0.2928930366116296,0.2909479141361566,0.0019928942154587787,7
11.905083322525025,0.26284126391617163,1.7605359077453613,1.796855191106637,GradientBoostingClassifier(random_state=42),0.1,5,100,,"{'classificador': GradientBoostingClassifier(random_state=42), 'classificador__learning_rate': 0.1, 'classificador__max_depth': 5, 'classificador__n_estimators': 100}",0.2912966252220249,0.2911327524346489,0.2895058494848961,0.2944364161849711,0.2939575394665215,0.2920658365586125,0.0018554812603214543,3
21.35949993133545,0.5955938107053798,0.4772490501403809,0.1883348767973715,GradientBoostingClassifier(random_state=42),0.1,5,200,,"{'classificador': GradientBoostingClassifier(random_state=42), 'classificador__learning_rate': 0.1, 'classificador__max_depth': 5, 'classificador__n_estimators': 200}",0.29243281471004245,0.2908407382091593,0.2881089575694081,0.2936337625178827,0.29278872221218144,0.2915609990437348,0.0019493117331210541,5
1.2720464706420898,0.08752169063699208,0.15686249732971191,0.03209671551021948,RandomForestClassifier(random_state=42),,5,100,gini,"{'classificador': RandomForestClassifier(random_state=42), 'classificador__criterion': 'gini', 'classificador__max_depth': 5, 'classificador__n_estimators': 100}",0.24077046548956663,0.23703703703703705,0.221670288730208,0.2291888601430528,0.22306525037936267,0.23034638035584543,0.007524037617855941,16
2.081875705718994,0.11117106433264895,2.196157169342041,1.6481921709421792,RandomForestClassifier(random_state=42),,5,200,gini,"{'classificador': RandomForestClassifier(random_state=42), 'classificador__criterion': 'gini', 'classificador__max_depth': 5, 'classificador__n_estimators': 200}",0.23840847104123214,0.23861596213481312,0.22649912517894066,0.22707157027315733,0.230958988590811,0.23231082344379086,0.005291297536767228,13
