mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__n_estimators,param_regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20.369909286499023,0.5665931006943498,0.07338142395019531,0.004167348866874988,GradientBoostingRegressor(random_state=42),0.05,4.0,100.0,,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.05, 'regressor__max_depth': 4, 'regressor__n_estimators': 100}",-4.94480972479055,-4.893333958023176,-4.923990565541506,-4.8987099657060265,-5.022432290657669,-4.9366553009437855,0.04669297449126382,8
30.361490297317506,1.6895036650979907,0.09586429595947266,0.010693508948399388,GradientBoostingRegressor(random_state=42),0.05,4.0,150.0,,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.05, 'regressor__max_depth': 4, 'regressor__n_estimators': 150}",-4.884646197985052,-4.862532803761931,-4.875074687249268,-4.842717027945359,-4.968166390431183,-4.886627421474558,0.04311535140924099,7
30.385699462890624,1.3942100066152165,0.07512626647949219,0.030097221414291796,GradientBoostingRegressor(random_state=42),0.05,6.0,100.0,,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.05, 'regressor__max_depth': 6, 'regressor__n_estimators': 100}",-4.858884774822092,-4.862700524596971,-4.872187114987829,-4.842586050598597,-4.987706617191688,-4.884813016439436,0.05232754363851484,5
44.34467253684998,0.3487888998282649,0.08512005805969239,0.019001675487923354,GradientBoostingRegressor(random_state=42),0.05,6.0,150.0,,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.05, 'regressor__max_depth': 6, 'regressor__n_estimators': 150}",-4.841811099824664,-4.860555127036918,-4.852449805198,-4.827677191345817,-4.969285774395191,-4.870355799560118,0.05067559810987611,3
19.515634965896606,0.33528570677785585,0.05579075813293457,0.011612188781651524,GradientBoostingRegressor(random_state=42),0.1,4.0,100.0,,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__max_depth': 4, 'regressor__n_estimators': 100}",-4.864349273645738,-4.853796800950463,-4.843655309616671,-4.815231112318847,-4.925793109599126,-4.86056512122617,0.036485434157618256,2
29.78506555557251,0.33477884636335614,0.06617598533630371,0.010664379090972884,GradientBoostingRegressor(random_state=42),0.1,4.0,150.0,,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__max_depth': 4, 'regressor__n_estimators': 150}",-4.848764878475912,-4.8454201182943475,-4.823329055363203,-4.804230702450591,-4.905477567515326,-4.8454444644198755,0.03406659567057186,1
30.697950506210326,0.5043840871282272,0.07483558654785157,0.0088256377024854,GradientBoostingRegressor(random_state=42),0.1,6.0,100.0,,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__max_depth': 6, 'regressor__n_estimators': 100}",-4.832374417390438,-4.906852238476204,-4.8282864766380795,-4.860679063727621,-4.9810963147786715,-4.881857702202202,0.05699128965288684,4
44.89362072944641,1.447693900593064,0.08791289329528809,0.03782461415421947,GradientBoostingRegressor(random_state=42),0.1,6.0,150.0,,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__max_depth': 6, 'regressor__n_estimators': 150}",-4.834104523143938,-4.908522434150046,-4.837595914074238,-4.863852282919343,-4.987638851484876,-4.8863428011544885,0.05720794705696354,6
27.38563961982727,1.0277890109493435,0.07143154144287109,0.012524728182046429,RandomForestRegressor(random_state=42),,8.0,100.0,,"{'regressor': RandomForestRegressor(random_state=42), 'regressor__max_depth': 8, 'regressor__n_estimators': 100}",-5.002097473019698,-4.947204382729089,-5.010768502353467,-4.960440031447845,-5.104921299394755,-5.005086337788971,0.055410925379450776,10
27.829537916183472,2.123114666642936,0.06773924827575684,0.00827615493746254,RandomForestRegressor(random_state=42),,12.0,100.0,,"{'regressor': RandomForestRegressor(random_state=42), 'regressor__max_depth': 12, 'regressor__n_estimators': 100}",-4.950272032301522,-4.93679044153163,-4.966725263833494,-4.923374621820182,-5.085533357577737,-4.972539143412914,0.05829654833242888,9
0.4642295837402344,0.02250517500297989,0.029889488220214845,0.001776008379762274,Ridge(random_state=42),,,,1.0,"{'regressor': Ridge(random_state=42), 'regressor__alpha': 1.0}",-5.157485343836744,-5.176537135621322,-5.21345709877796,-5.18762342873812,-5.23536714808293,-5.194094031011415,0.027454354234989913,12
0.4462904930114746,0.01945669683272093,0.03304004669189453,0.004509468485473591,Ridge(random_state=42),,,,10.0,"{'regressor': Ridge(random_state=42), 'regressor__alpha': 10.0}",-5.15719273208523,-5.175943262787021,-5.213078510558313,-5.1873161704722195,-5.2349839905540305,-5.193702933291363,0.02745443538299161,11
